[Name]
Series 1 at Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
8.91113043e-001, -7.16952393e+002
8.79241109e-001, -7.18464966e+002
8.67402911e-001, -7.19928955e+002
8.55586767e-001, -7.21636292e+002
8.43792081e-001, -7.23195801e+002
8.32027435e-001, -7.24721985e+002
8.20298254e-001, -7.26359680e+002
8.08608294e-001, -7.28127380e+002
7.96973526e-001, -7.29745422e+002
7.85406768e-001, -7.31216675e+002
7.73915827e-001, -7.33314026e+002
7.62508273e-001, -7.35051941e+002
7.51191139e-001, -7.36520264e+002
7.39973724e-001, -7.38235657e+002
7.28865743e-001, -7.40288330e+002
7.17822671e-001, -7.41911194e+002
7.06812680e-001, -7.43776062e+002
6.95839643e-001, -7.45606995e+002
6.84903622e-001, -7.47433228e+002
6.73980832e-001, -7.49373047e+002
6.63066387e-001, -7.51331360e+002
6.52168095e-001, -7.53258362e+002
6.41286552e-001, -7.55336609e+002
6.30421519e-001, -7.57694458e+002
6.19583368e-001, -7.60091553e+002
6.08795583e-001, -7.61853882e+002
5.98035336e-001, -7.63952332e+002
5.87279081e-001, -7.65991333e+002
5.76491177e-001, -7.68179932e+002
5.65659225e-001, -7.70784546e+002
5.54803252e-001, -7.73412903e+002
5.43944538e-001, -7.75780457e+002
5.33104897e-001, -7.78575623e+002
5.22307277e-001, -7.81861755e+002
5.11574745e-001, -7.84792297e+002
5.00930667e-001, -7.87636658e+002
4.90354061e-001, -7.90461670e+002
4.79766190e-001, -7.93430115e+002
4.69180793e-001, -7.96482666e+002
4.58604723e-001, -7.99757629e+002
4.48027521e-001, -8.03411011e+002
4.37445432e-001, -8.07096252e+002
4.26854432e-001, -8.10469421e+002
4.16256696e-001, -8.13744202e+002
4.05657917e-001, -8.17653992e+002
3.94998401e-001, -8.21868774e+002
3.84271413e-001, -8.25822815e+002
3.73514891e-001, -8.30004456e+002
3.62768888e-001, -8.34340454e+002
3.52074653e-001, -8.38859985e+002
3.41473788e-001, -8.43470947e+002
3.30938309e-001, -8.48083801e+002
3.20313483e-001, -8.52813477e+002
3.09630454e-001, -8.57818665e+002
2.98939139e-001, -8.62972656e+002
2.88292587e-001, -8.68200500e+002
2.77701020e-001, -8.73729248e+002
2.67141402e-001, -8.79592346e+002
2.56560057e-001, -8.85917175e+002
2.45907083e-001, -8.93091187e+002
2.35246420e-001, -9.00668945e+002
2.24648148e-001, -9.08050781e+002
2.14170620e-001, -9.17512329e+002
2.03656673e-001, -9.28543884e+002
1.93089753e-001, -9.40591064e+002
1.82545021e-001, -9.53737610e+002
1.72061682e-001, -9.67729065e+002
1.61656469e-001, -9.82045532e+002
1.51157662e-001, -9.97002991e+002
1.40612915e-001, -1.01294568e+003
1.30118519e-001, -1.02974304e+003
1.19763657e-001, -1.04903894e+003
1.09354369e-001, -1.07024109e+003
9.89228636e-002, -1.09190125e+003
8.85807946e-002, -1.11564502e+003
7.83189088e-002, -1.15963464e+003
6.79710209e-002, -1.24418982e+003
5.76768257e-002, -1.35384509e+003
4.75861616e-002, -1.47133594e+003
3.75406444e-002, -1.64401111e+003
2.77356952e-002, -1.95864172e+003
1.83149111e-002, -2.35199805e+003
9.70855821e-003, -2.04682031e+003
2.90239113e-003, -9.85593323e+002
-6.33319994e-011, 9.65088379e+002
3.47039383e-003, 1.52508325e+003
1.12929037e-002, 1.50617676e+003
2.06081793e-002, 1.25939185e+003
3.06605436e-002, 1.02796582e+003
4.10209559e-002, 9.00645081e+002
5.14220223e-002, 8.40055542e+002
6.19417541e-002, 7.98617371e+002
7.25284740e-002, 7.59666565e+002
8.31626430e-002, 7.22669434e+002
9.37831700e-002, 6.86615051e+002
1.04330234e-001, 6.52859436e+002
1.14890166e-001, 6.22071716e+002
1.25565484e-001, 5.93284241e+002
1.36300236e-001, 5.66566467e+002
1.47044212e-001, 5.42925659e+002
1.57750830e-001, 5.21707947e+002
1.68380857e-001, 5.02555420e+002
1.78998768e-001, 4.85739227e+002
1.89637482e-001, 4.70129028e+002
2.00345472e-001, 4.55357117e+002
2.11120456e-001, 4.41335602e+002
2.21930727e-001, 4.27883331e+002
2.32750162e-001, 4.14633850e+002
2.43555307e-001, 4.01649567e+002
2.54323065e-001, 3.89226776e+002
2.65031427e-001, 3.77501678e+002
2.75771201e-001, 3.66384064e+002
2.86608338e-001, 3.55695374e+002
2.97520041e-001, 3.45401855e+002
3.08483839e-001, 3.35985901e+002
3.19477797e-001, 3.26704773e+002
3.30482483e-001, 3.17808746e+002
3.41504484e-001, 3.09503662e+002
3.52572501e-001, 3.01520752e+002
3.63906741e-001, 2.93650665e+002
3.75535369e-001, 2.85884766e+002
3.87477100e-001, 2.78230499e+002
3.99738312e-001, 2.70540527e+002
4.12325621e-001, 2.63085815e+002
4.25266057e-001, 2.55525818e+002
4.38498795e-001, 2.47885742e+002
4.51894552e-001, 2.40679443e+002
4.65452194e-001, 2.33471100e+002
4.79172945e-001, 2.26271622e+002
4.93058056e-001, 2.19245361e+002
5.07130742e-001, 2.12373383e+002
5.21353722e-001, 2.05575562e+002
5.35706460e-001, 1.98898514e+002
5.50456583e-001, 1.92257965e+002
5.65549135e-001, 1.85717773e+002
5.80913007e-001, 1.79424210e+002
5.96523821e-001, 1.73386368e+002
6.12367332e-001, 1.67509811e+002
6.28478408e-001, 1.61516922e+002
6.44871473e-001, 1.55666962e+002
6.61514223e-001, 1.50061417e+002
6.78354740e-001, 1.44501801e+002
6.95427001e-001, 1.38853897e+002
7.12762237e-001, 1.33210800e+002
7.30371356e-001, 1.27695122e+002
7.48258770e-001, 1.22180473e+002
7.66428709e-001, 1.16686668e+002
7.84885645e-001, 1.11198547e+002
8.03506732e-001, 1.05744987e+002
2.26317067e-002, 1.21517249e+003
undef, undef
3.28303017e-002, 9.83671753e+002
4.33164313e-002, 8.77963257e+002
5.38884774e-002, 8.30959229e+002
